,id,synopsis,movie_rating,genre,director,writer,theater_date,dvd_date,currency,box_office,runtime,studio,review,review_rating,fresh,critic,top_critic,publisher,date
2025,61,"Death once again shows he's determined to get what he wants in this teen-centric thriller. Wendy (Mary Elizabeth Winstead) is a high school student hanging out with her friends at an amusement park one night when they decide to ride on the roller coaster. Wendy, however, has a premonition that something horrible will happen, and finds a way to save herself shortly before the ride goes off the rails, killing most of its passengers, including her boyfriend, Jason (Jesse Moss), and best friend, Carrie (Gina Holden). However, while Wendy may have survived the night at the park, she soon discovers that a malevolent spirit is following her and her classmates as they begin dying in strange and horrible ways. Wendy learns that a series of snapshots taken that evening give clues to the mayhem that followed her pals, and she teams up with Kevin (Ryan Merriman), Carrie's sweetheart, to try to warn the potential victims about the fates soon to befall them. Final Destination 3 was directed and co-scripted by James Wong, who also helmed the first two films in the franchise.",R,Action and Adventure|Drama|Horror|Mystery and Suspense,James Wong,James Wong|Glen Morgan,"Feb 10, 2006","Jul 25, 2006",$,54100000,93 minutes,New Line Cinema,"The film starts to pick up after it begins borrowing liberally from The Omen, even more liberally than the film's two predecessors which, as freak-accident horror films, are by definition Omen clones.",0.75,fresh,Lucius Gore,0,ESplatter,"June 18, 2008"
2175,65,"A classic Disney fairytale collides with modern-day New York City in a story about a fairytale princess from the past who is thrust into present-day by an evil queen. Soon after her arrival, Princess Giselle begins to change her views on life and love after meeting a handsome lawyer. Can a storybook view of romance survive in the real world?",PG,Comedy|Kids and Family|Romance,Kevin Lima,,"Nov 21, 2007","Mar 18, 2008",$,127706877,108 minutes,Walt Disney Pictures,"In Enchanted, even the vermin whistle while they work.",0.73,fresh,Craig Outhier,1,Orange County Register,"December 10, 2014"
2500,77,"Until he was downsized, affable, amiable Larry Crowne (Tom Hanks) was a superstar team leader at the big-box company where he's worked since his time in the Navy. Underwater on his mortgage and unclear on what to do with his suddenly free days, Larry heads to his local college to start over. There he becomes part of a colorful community of outcasts, also-rans and the overlooked all trying to find a better future for themselves...often moving around town in a herd of scooters. In his public-speaking class, Larry develops an unexpected crush on his teacher Mercedes Tainot (Julia Roberts), who has lost as much passion for teaching as she has for her husband. -- (C) Universal Pictures",PG-13,Comedy|Drama,Tom Hanks,Tom Hanks|Nia Vardalos,"Jul 1, 2011","Nov 15, 2011",$,35565975,99 minutes,Universal Pictures,"Although Hanks' hand is quite noticeable in the powerful cast, as in the pleasing plot, the story is too simple to make this film transcend beyond providing a few hours of wholesome fun... [Full review in Spanish]",0.6,fresh,Laura Hiros,0,,"March 22, 2018"
2817,87,"""Mao's Last Dancer"" is the inspiring true story of Li Cunxin and his extraordinary journey from a poor upbringing in rural China to international stardom as a world-class ballet dancer. Based on the best selling autobiography, the film weaves a moving tale about the quest for freedom and the courage it takes to live your own life. It compellingly captures the struggles, sacrifices and triumphs, as well as the intoxicating effects of first love and celebrity amid the pain of exile.",PG,Art House and International|Drama|Musical and Performing Arts,Bruce Beresford,Jan Sardi,"Aug 20, 2010","May 3, 2011",$,4806750,117 minutes,Samuel Goldwyn Films,"a sweeping story that has many ups and downs, with some pretty noticeable changes in tone and pace",0.7,fresh,Kevin Carr,0,7M Pictures,"October 2, 2013"
2942,95,"BLEED FOR THIS is the incredible true story of one of the most inspiring and unlikely comebacks in sports history. Miles Teller (Whiplash, Divergent) stars as Vinny ""The Pazmanian Devil"" Pazienza, a local Providence boxer who shot to stardom after winning two world title fights. After a near-fatal car accident leaves Vinny with a broken neck, he is told he may never walk again. Against all odds and doctor's orders, renowned trainer Kevin Rooney (Aaron Eckhart) agrees to help Vinny return to the ring just a year after the accident for what could be the last fight of his life.",R,Drama|Sports and Fitness,Ben Younger,Ben Younger,"Nov 18, 2016","Feb 14, 2017",$,5051927,116 minutes,Open Road Films,"Teller is appreciably committed to the character, but he's only given one note to play, his full-bodied passion wasted on a movie that would rather win on points than go for the knockout.",0.53,rotten,David Ehrlich,1,indieWire,"November 14, 2018"
3089,99,"A woman finds herself attempting to foil one office romance while debating if she should take a chance on another in this romantic comedy. Lucy Kelton (Sandra Bullock) is a top-flight attorney who has risen to the position of Chief Legal Counsel for one of New York's leading commercial real estate firms, the Wade Corporation. However, Lucy's job has one significant drawback -- George Wade (Hugh Grant), the eccentric and remarkably self-centered head of the firm. George seems entirely incapable of making a decision without Lucy's advice, whether it actually involves a legal matter or not, and while she's fond of George, being at his beck and call 24 hours a day has brought her to the end of her rope. In a moment of anger, Lucy gives her two weeks notice, and George reluctantly accepts, under one condition -- Lucy has to hire her own replacement. After extensive research, Lucy picks June Carter (Alicia Witt), a Harvard Law graduate determined to make a career for herself. Lucy soon begins to suspect, however, that June plans to hasten her rise up the corporate ladder by winning George's hand, leaving Lucy to wonder if she should warn George about his beautiful but calculating new attorney -- and whether she should tell George that she has finally realized she's in love with him. Two Weeks Notice was written and directed by Marc Lawrence, who had previously scripted two other box-office hits for Sandra Bullock: Miss Congeniality and Forces of Nature.",PG-13,Comedy|Romance,,,"Dec 20, 2002","Apr 29, 2003",$,93300000,102 minutes,Warner Bros.,everything a romantic comedy is supposed to be,0.8,fresh,Kevin Carr,0,Fat Guys at the Movies,"January 10, 2016"
3202,108,"A picture-perfect family moves into an upscale community, impressing the locals and integrating themselves into every aspect of the community until a sudden tragedy forces them to reassess their priorities. Steve (David Duchovny) and Kate Jones (Demi Moore) have everything a happily married couple could ever want: their kids, Jenn (Amber Heard) and Mick (Ben Hollingsworth), are intelligent and attractive, they live in an affluent neighborhood, and their sprawling suburban home is jam-packed with all of the coolest gizmos and gadgets that money can buy. It isn't long before the Joneses have struck up a friendship with their next-door neighbors Larry (Gary Cole) and Summer (Glenne Headly), and become integral components of their community. But take a closer look at the situation and you'll start to see something ominous lurking just beneath the surface. It's only when the Joneses are confronted with an unexpected disaster that they finally discover who they really are beneath the glossy veneer of consumerism.",R,Comedy|Drama|Kids and Family,Derrick Borte,Derrick Borte,"Apr 16, 2010","Aug 10, 2010",$,1000000,93 minutes,Roadside Attractions,"As interesting as the message is with this film, it is equally as hypocritical of the movie industry to shake its finger at fads, trendsetters and materialistic nonsense.",0.5,rotten,Kevin Carr,0,7M Pictures,"August 1, 2012"
3629,124,"In present-day London, twelve-year-old Quinn watches as his mother, a construction engineer inadvertently wakes an enormous fire-breathing beast from its centuries-long slumber. Twenty years later, much of the world has been scarred by the beast and its offspring. As a fire chief, Quinn is responsible for warding off the beasts and keeping a small community alive as they eke out a meager existence. Into their midst comes a hotshot American, Van Zan, who says he has a way to kill the beasts and save mankind--a way Quinn's never seen done.",PG-13,Action and Adventure|Science Fiction and Fantasy,Rob Bowman,Terry Hayes|Kevin Peterka|Gregg Chabot|Matthew Greenberg|Matt Greenberg,"Jul 12, 2002","Nov 19, 2002",$,42929971,101 minutes,Buena Vista Distribution Compa,Reign of Fire is one of the most intense and enjoyable monster flicks I've ever seen. ,0.8,fresh,Steve Newton,0,Georgia Straight,"February 8, 2014"
3938,136,"In CASE 39, family services social worker Emily Jenkins (Ren",R,Horror|Mystery and Suspense,Christian Alvart,Ray Wright,"Oct 1, 2010","Jan 4, 2011",$,13248477,109 minutes,Paramount Studios,"A soulless amalgamation of several horror classics, and marks another dud in the career of Renee Zellweger. ",0.4,rotten,Matthew Pejkovic,0,Matt's Movie Reviews,"March 5, 2014"
4178,153,"Meet the kid who made ""wimpy"" cool in a family comedy based on the best-selling illustrated novel Diary of a Wimpy Kid by Jeff Kinney, the first in a series that has thus far sold 24 million copies. ""Diary of a Wimpy Kid"" chronicles the adventures of wise-cracking pre-teen Greg Heffley, who must somehow survive the scariest time of anyone's life: middle school.",PG,Comedy|Kids and Family,Thor Freudenthal,Jackie Filgo|Jeff Filgo|Gabe Sachs|Jeff Judah,"Mar 19, 2010","Aug 3, 2010",$,64001297,93 minutes,20th Century Fox,An imaginative family film featuring a tremendously mischievous and likable lead character.,0.7,fresh,John Hanlon,0,Big Hollywood,"October 30, 2012"
4289,158,"The film tells the inspiring true story of how Nelson Mandela joined forces with the captain of South Africa's rugby team to help unite their country. Newly elected President Mandela knows his nation remains racially and economically divided in the wake of apartheid. Believing he can bring his people together through the universal language of sport, Mandela rallies South Africa's underdog rugby team as they make an unlikely run to the 1995 World Cup Championship match.",PG-13,Drama|Sports and Fitness,Clint Eastwood,Anthony Peckham,"Dec 11, 2009","May 18, 2010",$,37431431,134 minutes,Warner Bros. Pictures,Invictus is a powerful and moving story.,0.8,fresh,Debbie Baldwin,0,Ladue News,"November 12, 2018"
4485,159,"In keeping with his background in television sitcoms, Sam Weisman directs the cameo-filled comedy Dickie Roberts: Former Child Star. Dickie Roberts (David Spade) was a child actor on the hit TV show ""The Glimmer Gang"" and remains remembered for a particular catch phrase. Now in his thirties, he finds work as a parking valet and spends time with other nominal child stars (enter cameos by Danny Bonaduce, Corey Feldman, and the like). Wanting to make a comeback, he manages to get an audition with director Rob Reiner. When the role requires him to be normal, he decides to hire a normal family in order to relive the childhood he missed out on. He ends up with sleazy salesman George Finney (Craig Bierko) and his loving wife, Grace (Mary McCormack). Dickie shares a room with their two kids: sunny daughter Sally (Jenna Boyd) and impressionable son Sam (Scott Tessa). Former child star Alyssa Milano appears as Dickie's girlfriend, Cyndi.",PG-13,Comedy,Sam Weisman,,"Sep 3, 2003","Feb 17, 2004",$,22715908,98 minutes,Paramount Pictures,Not at all funny David Spade movie.,0.2,rotten,Nell Minow,0,Common Sense Media,"December 22, 2010"
4589,160,"""The Vertical Limit"" is a high-adrenaline tale of a young climber who must launch a treacherous and extraordinary rescue effort up K-2, the world's second highest peak, to save his sister and her summit team in a race against time.",PG-13,Action and Adventure|Drama,Martin Campbell,Robert King|Terry Hayes,"Dec 8, 2000","May 22, 2001",$,67771442,124 minutes,Columbia Pictures,Mediocre disaster flick.,0.6,fresh,,0,Common Sense Media,"January 2, 2011"
4712,165,"The novel of the same name by author Tom Savage becomes this horror film starring Marley Shelton as Kate Davies. Kate's in a troubled relationship with journalist Adam Carr (David Boreanaz), a problem drinker, but she receives support from her best friends, the same four girls she's known since grade school: Paige Prescott (Denise Richards), Dorothy Wheeler (Jessica Capshaw), Lily Voight (Jessica Cauffel), and Shelly Fisher (Katherine Heigl). When Shelly is murdered and the other girls begin receiving gruesome Valentine's Day cards signed ""JM,"" they begin to speculate that the killer could be an awkward schoolmate named Jeremy Melton, whom they once teased mercilessly at a school dance, leading to his beating and humiliation. Dorothy in particular is afraid that a false accusation she made against Jeremy might be causing him to seek bloody retribution, but the macho detective (Fulvio Cecere) assigned to investigate Shelly's murder has some other suspects in mind. As the body count is racked up and Dorothy's lavish Valentine's Day party approaches, Kate begins to suspect that the true identity of Jeremy, who likely underwent plastic surgery to alter his appearance, could hit very close to home. Valentine is the second slasher flick from Urban Legend (1998) director Jamie Blanks.",R,Horror|Mystery and Suspense,Jamie Blanks,,"Feb 2, 2001","Jul 24, 2001",$,19755422,96 minutes,Warner Bros. Pictures,"Valentine is far from perfect, but not a bad film.",0.5,fresh,Zena Dixon,0,Real Queen of Horror,"October 7, 2018"
4841,182,"When their new guardians forbid 16-year old Andi and her younger brother, Bruce to have a pet, Andi has to use her quick wit to help find a new home for their dog, Friday. The resourceful kids stumble upon an abandoned hotel and using Bruce's talents as a mechanical genius, transform it into a magical dog-paradise for Friday--and eventually for all Friday's friends. When barking dogs make the neighbors suspicious, Andi and Bruce use every invention they have to avoid anyone discovering ""who let the dogs in.""",PG,Action and Adventure|Comedy|Kids and Family,Thor Freudenthal,Jeff Lowell|Lois Duncan|Robert Schooley|Mark McCorkle,"Jan 16, 2009","Apr 28, 2009",$,73023275,100 minutes,Dreamworks Pictures,Hotel for Dogs delivers warm messages about generosity and sticking with seemingly impossible goals. There are worse ways to spend a winter afternoon than with this amusing comedy.,0.67,fresh,Julie Washington,0,Cleveland Plain Dealer,"August 17, 2017"
4946,188,"From the producers of Little Miss Sunshine - When an unusual classified ad inspires three cynical Seattle magazine employees to look for the story behind it, they discover a mysterious eccentric named Kenneth, a likable but paranoid supermarket clerk, who believes he's solved the riddle of time travel and intends to depart again soon. Together, they embark on a hilarious, smart, and unexpectedly heartfelt journey that reveals how far believing can take you. -- (C) Official Site",R,Comedy|Drama,Colin Trevorrow,Derek Connolly,"Jun 8, 2012","Oct 30, 2012",$,4007792,86 minutes,Film District,"This is a heartfelt and smart-tongued micro sci-fi with a tone and voice entirely its own, faltering only in its half-hearted attempts to become an ensemble piece.",0.8,fresh,Emma Dibdin,0,The Arts Desk,"May 21, 2018"
5083,191,"Award-winning filmmaker Rakeysh Omprakash Mehra (writer/director of the BAFTA-nominated Rang De Basanti starring Aamir Khan) returns with his newest film BHAAG MILKHA BHAAG telling the true story of the ""Flying Sikh"" - world champion runner and Olympian Milkha Singh. Played by acclaimed actor Farhan Akhtar, Singh overcame the bloody massacre of his family, civil war during the India-Pakistan partition, and homelessness to become one of India's most iconic athletes. (c) Reliance Entertainment",NR,Drama,Rakeysh Omprakash Mehra|Rakeysh Omprakesh Mehra,Prasoon Joshi,"Jul 12, 2013","Jan 12, 2015",$,1626289,188 minutes,Reliance Entertainment,"Overlong and stuffed with too many catchy but unnecessary songs, this worthy film is nevertheless indicative of a more sensible and sensitive side of Bollywood.",0.6,fresh,Anil Sinanan,1,Time Out,"October 23, 2017"
5174,196,"A multi-millionaire plans a scam that goes wrong in a great many ways in this comedy. Malcolm King (Anthony Anderson) is a wildly successful businessman who has gotten used to having things his own way. When King decides to divorce his wife, she's none too thrilled at the prospect and makes it clear she will make him pay a huge settlement in exchange for his freedom. King isn't keen on this idea, so he and his mistress hatch a scheme by which one of her friends (Jay Mohr) will ""kidnap"" King and demand a large portion of his fortune for his return, which will be kicked back to the businessman later. But King seriously underestimates the ineptitude of his would-be kidnapper -- no to mention how many other people want a piece of his fortune. King's Ransom also stars Regina Hall, Leila Arcieri, Charlie Murphy, and Donald Faison.",PG-13,Comedy,Jeff Byrd,Wayne Conley,"Apr 22, 2005","Jul 26, 2005",$,3998889,98 minutes,WARNER BROTHERS PICTURES,This slapdash comedy barely coughs up more than a couple of funny scenes as the story moves in predictable fits and starts before sputtering out of fuel half way through.,0.47,rotten,Cole Smithey,0,ColeSmithey.com,"June 19, 2009"
5363,210,"DreamWorks Pictures' ""The Light Between Oceans"" is a heart-breaking drama about fate, love, moral dilemmas and the lengths to which one couple will go to see their dreams realized. Starring Academy Award (R) and Golden Globe (R) nominee Michael Fassbender, Oscar (R) winner Alicia Vikander, Academy Award and Golden Globe winner Rachel Weisz, Bryan Brown and Jack Thompson, the film is written for the screen and directed by Derek Cianfrance based on the acclaimed novel by M.L. Stedman. The producers are Academy Award nominee David Heyman, p.g.a. and Jeffrey Clifford, p.g.a. with Tom Karnowski, Rosie Alison, Jeff Skoll and Jonathan King serving as executive producers. In the years following World War I, Tom Sherbourne (Michael Fassbender), a young veteran still numb from his years in combat, takes a job as lighthouse keeper on Janus Rock, a remote island off the coast of Western Australia. As the island's sole inhabitant, he finds comfort in the monotony of the chores and the solitude of his surroundings. When he meets the daughter of the school's headmaster, Isabel Graysmark (Alicia Vikander), in the local town of Partageuse on the mainland, Tom is immediately captivated by her beauty, wit and passion, and they are soon married and living on the island. As their love flourishes, he begins to feel again, their happiness marred only by their inability to start a family, so when a rowboat with a dead man and infant girl mysteriously washes ashore, Isabel believes their prayers may have finally been answered. As a man of principle, Tom is torn between reporting the lost child and pleasing the woman he loves, and against his better judgment he agrees to let Isabel raise the child as their own, making a choice with devastating consequences. DreamWorks Pictures' ""The Light Between Oceans"" opens in U.S. theaters on September 2nd.",PG-13,Drama|Romance,Derek Cianfrance,Derek Cianfrance,"Sep 2, 2016","Jan 24, 2017",$,12533911,132 minutes,,This is a heart-wrenching drama about the difficult choices people make for the ones they love and the unintended consequences of those actions.,0.7,fresh,Sean Mulvihill,0,FanboyNation.com,"October 31, 2018"
5568,211,"Set in rural America in 1964, an immigrant and single mother who works at a factory takes refuge from her hardships by imagining herself and her co-workers in Hollywood musicals.",R,Drama|Musical and Performing Arts,Lars von Trier,Lars von Trier,"Sep 23, 2000","Mar 20, 2001",$,2839256,137 minutes,Fine Line Features,Denmark's enfant terrible Lars von Trier finally won the Camme Palme d'Or for this postmodern deconstructive musical featuring a stunning performance by Bjork.,0.8,fresh,Emanuel Levy,0,EmanuelLevy.Com,"April 7, 2011"
5730,218,"A disturbing videotape appears to hold the power of life and death over those who view it in this offbeat thriller. A strange videotape begins making the rounds in a town in the Pacific Northwest; it is full of bizarre and haunting images, and after watching it, many viewers receive a telephone call in which they are warned they will die in seven days. A handful of teenagers who watched the tape while spending a weekend at a cabin in the mountains scoff at the threat, but as predicted, they all die suddenly on the same night. Rachel Keller (Naomi Watts), the aunt of one of the ill-fated teens, is a journalist who has decided to investigate the matter and travels West with her young son, Aidan (David Dorfman), a troubled child who has been drawing pictures of strange and ominous visions. Rachel managed to find the cabin in the woods and watches the video herself; afterward, she receives the same phone call, and realizes she must solve the puzzle of the video and the person or persons behind it within a week. Rachel turns to her ex, Noah (Martin Henderson), an expert in video technology, who at first is convinced the story is a hoax until he digs deeper into the mystery. The Ring was adapted from a 1996 Japanese film by Hideo Nakata, which became a massive box-office success in Asia and spawned two sequels.",PG-13,Drama|Horror|Mystery and Suspense|Romance,Gore Verbinski,Ehren Kruger,"Oct 18, 2002","Mar 4, 2003",$,128579698,115 minutes,DreamWorks SKG,A thoroughly prosaic and prototypical spooker that commits the cardinal sin of devaluing what made the raw materials of its fable so original and powerful in the first place.,0.4,rotten,PJ Nabarro,0,Patrick Nabarro,"November 8, 2018"
5973,227,"A gifted young singer-songwriter recruits the new kid in town to manage her fledgling rock band in this music-driven comedy starring Vanessa Anne Hudgens and Gaelan Connell. Charlotte Banks (Aly Michalka) has what it takes to be a true rock star, and with the battle of the bands approaching she's determined to win. Her chief opponent in the upcoming competition is none other than her egotistical ex-boyfriend Ben (Scott Porter). Ben may be cocky, but there's no denying his charisma when he takes the stage. With a little help from new arrival Will Burton (Connell), Charlotte's band begins to develop a unique sound and starts writing some original songs. Meanwhile, as Will and singer/guitarist Sa5m (Hudgeons) start to make a love connection, disaster strikes, and the band is forced to choose between conceding the competition or standing tall and finally living up to their true potential.",PG,Comedy|Drama|Musical and Performing Arts,Todd Graff,,"Aug 14, 2009","Mar 16, 2010",$,5205343,111 minutes,Summit Entertainment,"Surprisingly, it's Vanessa Hudgens who brings the film to life, creating an original and believable brooding teen. ",0.6,fresh,Debbie Baldwin,0,Ladue News,"November 13, 2018"
6383,249,"To save his son from ruthless gangsters, a streetwise ex-con finds himself coerced into performing a series of crimes in this gritty thriller. Waist Deep features Tyrese Gibson as O2, a young father and recent parolee whose life on the outside is upended when his young son Junior is taken hostage after an auto-theft gone wrong. After learning that his boy is in the hands of a mob boss named Meat (The Game), O2 is forced to break the law once again to satisfy his demands, and teams up with Coco (Meagan Good), a hooker with ties to Meat, to get into the gangster's inner sanctum and save his son. Waist Deep marked the acting debut of rapper The Game.",R,Action and Adventure|Drama,Stan Lathan|Vondie Curtis-Hall,Vondie Curtis-Hall|Darin Scott,"Jun 23, 2006","Oct 10, 2006",$,21318194,97 minutes,Focus Features,...strangely uninvolving...,0.5,rotten,David Nusair,0,Reel Film Reviews,"January 18, 2007"
